Sentence,Word_Count,Sentence_Length,Char_Count,DLP,Dot_Load_Ratio,OVL,Similar_Shape_Density,PSC_Density,Lexical_Difficulty,Homograph_Risk,Avg_Morphological_Complexity,Domain,Text_Class,Quadrant,Readability_Level_19,DLI,DLI_10
تجد المكتبات ودور النشر صعوبات كبيرة في بيع الروايات المغربية ويبدو أن الرواية المغربية لم تستفد من المعرض الدولي للكتاب والنشر الذي تتواصل فعالياته إلى غاية فبراير الجاري هو ما ظهر جليا من خلال إطلالة على أروقة المعرض,38,181,181,0.36,0.57,0.0,0.49,0.15,2.43,0.21,0.47,Arts & Humanities,Advanced,High BAREC / High DLI,12,6,2.7
البرنامج اختار تسليط الضوء على الأغنية الغيوانية بحضور واحد من ألمع أسمائها,12,64,64,0.31,0.44,0.0,0.45,0.2,2.04,0.17,0.42,Arts & Humanities,Advanced,High BAREC / High DLI,11,6,2.7
إيمان أغوتان تسلط الضوء على ملف محمد نوري الذي سجن بسبب جريمة لم يرتكبها,14,59,59,0.39,0.54,0.0,0.54,0.22,1.86,0.36,0.21,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
قالت مصادر إعلامية قبل قليل إن منطقة بني بوعياش بالريف عاشت يوما أسود بعد تسجيل انفلات أمني خطير وأضافت المصادر نفسها أنه تم إحراق سيارات القوات العمومية والشرطة فيما حوصر رجال الأمن وتعرضوا للعنف داخل منازل بالمنطقة وأشعل بعض المشاغبين النيران في المنازل والسيارات والحافلات العمومية,46,239,239,0.36,0.58,0.0,0.51,0.15,2.12,0.13,0.57,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
لفظ ستيني أنفاسه الأخيرة بعدما دهسته حافلة للنقل الحضري صباح اليوم بحي صوريا وسط مدينة مكناس عناصر الوقاية المدنية حلت بمكان الحادث وعملت على نقل جثة الهالك إلى مستودع الأموات بمستشفى محمد الخامس بمكناس فيما فتحت الشرطة محضرا قضائيا لمعرفة أسباب الحادث,42,211,211,0.33,0.54,0.0,0.51,0.21,2.29,0.14,0.52,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
عاين الصباح قبل قليل إحراق حارس سيارات نفسه أمام ملعب محمد الخامس بالدار البيضاء وحسب شهود بعين المكان فإن السبب يعود لخلاف بينه وبين أحد الأشخاص قبل أن يقرر إحراق نفسه أمام العامة وتوقفت حركة السير بالقرب من الملعب إذ تم نقل الضحية في حالة صعبة إلى المستشفى,48,211,211,0.35,0.53,0.0,0.54,0.19,1.82,0.12,0.5,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
لقي ثلاثة أشخاص بينهم إمرأة مصرعهم على الفور بعد حادثة سير على مستوى جماعة ريصانة نواحي مدينة القصر الكبير مصدر أمني عزا وقوع الحادثة الى انقلاب شاحنة على سيارة خفيفة حيث تم نقل الجثث صوب مستودع الأموات في حين فتحت مصالح الدرك الملكي تحقيقا في النازلة,46,206,206,0.37,0.66,0.0,0.54,0.2,2.25,0.22,0.26,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
في دوار الدويشات بجماعة المزوضية نواحي مراكش أقدم شاب في الثلاثين من عمره يوم السبت على ذبح والده السبعيني على مستوى العنق المجني عليه نقل إلى المستشفى في حالة مستعجلة فيما مازالت التحقيقات جارية لدى الدرك الملكي لمعرفة اﻷسباب الكامنة وراء إقدام الابن على ذبح والده,46,219,220,0.35,0.57,0.0,0.48,0.2,2.07,0.22,0.39,Arts & Humanities,Advanced,High BAREC / High DLI,12,6,2.7
تعرضت حافلة كبيرة الحجم صباح اليوم الى حادث خطير بالدار البيضاء وحسب شهود العيان فإن الحافلة التي انقلبت على الطريق كانت تمشي بسرعة كبيرة واصطدمت بسيارتين مخلفة بعض الإصابات متفاوتة الخطورة وحضر رجال الأمن من أجل فتح تحقيق في الموضوع علما أن المصابين نقلوا على عجل إلى اقرب مستشفى,49,232,232,0.38,0.6,0.0,0.55,0.18,1.71,0.2,0.43,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
قالت وسائل إعلام إن عصابة أطلقت الرصاص لتوقيف سائق سيارة رباعية الدفع وسط طانطان أمس السبت ما جعلها تنقلب في مشهد هوليودي وأضافت المصادر نفسها أن المواجهات عرفت إطلاق الرصاص وأفزعت السكان وأكدت التحقيقات الأولى أن الأمر يتعلق بحرب عصابات تنشط في الاتجار بالمخدرات,44,220,220,0.32,0.51,0.0,0.53,0.14,2.26,0.11,0.45,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
أجلت المحكمة الابتدائية بمراكش محاكمة عون سلطة برتبة شيخ حضري متابع بتهمة منح شهادة عزوبة لرجل متزوج وذلك لمنح الفرصة للمحامي لإعداد مرافعته وتعود تفاصيل القضية إلى سنة حين ساعد عون السلطة شخصا متزوجا من أجل الحصول على شهادة العزوبة مقابل درهم,42,202,202,0.35,0.56,0.0,0.5,0.25,2.55,0.21,0.48,Arts & Humanities,Advanced,High BAREC / High DLI,14,8,3.6
حجزت عناصر أمن الدائرة الأولى بمراكش ما يناهز نرجيلة بمقهى وسط مقاطعة جليز حيث يأتي التدخل في إطار حملة شملت عددا من المقاهي يذكر أن مجموعة من المقاهي تعرضت لتفتيش خلال الأيام الأخيرة ويشار إلى أن بعضها تم إغلاقه بمذكرة ولائية بسبب مخالفتهم للقوانين الجاري بها العمل,47,220,220,0.38,0.61,0.0,0.49,0.23,2.31,0.15,0.51,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
أفادت السلطات المحلية لولاية العيون الساقية الحمراء أن حريقا اندلع صباح اليوم الثلاثاء بأحد المكاتب المتواجدة بالجناح الإداري لمستشفى الحسن الثاني للاختصاصات بالعيون نتيجة تماس كهربائي وقد تدخلت مصالح الوقاية المدنية لتطويق الحريق الذي خلف بعض الخسائر المادية دون تسجيل أية إصابات بشرية,43,244,244,0.36,0.6,0.0,0.5,0.14,2.3,0.14,0.67,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
أفادت السلطات المحلية لولاية العيون الساقية الحمراء أن حريقا اندلع اليوم الثلاثاء بأحد المكاتب المتواجدة بالجناح الإداري لمستشفى الحسن الثاني للاختصاصات بالعيون نتيجة تماس كهربائي وقد تدخلت مصالح الوقاية المدنية لتطويق الحريق الذي خلف بعض الخسائر المادية دون تسجيل أية إصابات بشرية,42,240,240,0.36,0.61,0.0,0.49,0.14,2.33,0.12,0.69,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
تمكنت مصالح الجمارك بميناء الدار البيضاء من حجز كمية كبيرة من المفرقعات كانت مخبأة داخل حاوية تحتوي على ديكورات للتزيين قادمة من إحدى البلدان الأسيوية تفتيش الحاوية مكن الجمركيين من العثور على ألف علبة أي مليون وحدة حيث تم حجزها وإخضاعها للتحليل بالمختبر التابع للجمارك,45,225,225,0.38,0.6,0.0,0.49,0.24,2.27,0.22,0.53,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
عثرت ساكنة حي الازدهار ببرج مولاي عمر بمكناس على جثة رضيع حديث الولادة تم التخلي عنه بالقرب من مستوصف الحي ذاته وحضرت عناصر الأمن والسلطات المحلية إلى عين المكان فور إخطارها حيث تم فتح تحقيق من أجل كشف هوية الفاعل ونقل الجثة إلى مستودع الأموات بمستشفى محمد الخامس بمكناس,49,222,222,0.34,0.56,0.0,0.52,0.24,2.16,0.22,0.55,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
أصيب عدة أشخاص في حادث طعن بمدينة توركو الفنلندية الجمعة حسبما أفادت الشرطة المحلية ونقلت سكاي نيوز عن الشرطة أنها أطلقت النار على مشتبه به مما أسفر عن إصابته في قدمه واعتقاله وبعد الحادث عززت الشرطة إجراءات الأمن في مطار العاصمة هلسنكي وفي محطات القطار في البلاد,47,217,217,0.35,0.59,0.0,0.54,0.18,2.03,0.13,0.49,Arts & Humanities,Advanced,High BAREC / High DLI,12,7,3.2
أعلن بنك المغرب أن صافي الاحتياطات الدولية بلغ مليار درهم إلى حدود دجنبر الجاري مسجلا ارتفاعا بنسبة في المائة على أساس سنوي وأوضح البنك المركزي الذي نشر مؤشراته الأسبوعية أن هذه الاحتياطات عرفت زيادة بنسبة في المائة,37,179,179,0.36,0.53,0.0,0.51,0.16,2.43,0.16,0.38,Arts & Humanities,Advanced,High BAREC / High DLI,15,6,2.7
أعلن بنك المغرب اليوم الخميس أنه ضخ مبلغ مليار درهم في السوق النقدية برسم تسبيقات لمدة سبعة أيام وأوضح البنك المركزي في بلاغ له أنه ضخ هذا المبلغ خلال طلب عروض أمس الأربعاء لمبلغ مطلوب قدره مليار درهم بنسبة في المائة,41,176,176,0.35,0.48,0.0,0.49,0.23,2.13,0.07,0.46,Arts & Humanities,Advanced,High BAREC / Low DLI,14,5,2.3
أعلن بنك المغرب اليوم الخميس أنه ضخ مبلغ مليار درهم في السوق النقدية وذلك برسم تسبيقات لمدة سبعة أيام وأوضح البنك المركزي في بلاغ له أنه تم إنجاز هذه العملية خلال طلب عروض تم يوم أمس الأربعاء من أجل مبلغ مطلوب قدره مليار درهم بمعدل فائدة يبلغ في المائة,49,204,204,0.35,0.49,0.0,0.48,0.25,2.13,0.12,0.39,Arts & Humanities,Advanced,High BAREC / Low DLI,12,5,2.3
لفظت مياه البحر اليوم الاحد جثة شاب قضى غرقا قبل يوم حين كان يزاول هواية الصيد بمنطقة الشاطئ الابيض كلم غرب مدينة كلميم وأوضح مصدر من السلطة المحلية أنه تم العثور على جثة الهالك البالغ من العمر سنة بمنطقة تاكومبا على بعد حوالي كلم من مركز جماعة الشاطئ الأبيض,49,210,210,0.34,0.55,0.0,0.45,0.23,1.99,0.35,0.39,Arts & Humanities,Advanced,High BAREC / High DLI,13,7,3.2
قرر أطر مستخدمو شركة أطلس بلو للطيران تصعيد لهجتها الإحتجاجية اتخذت قرارا بخوض اعتصام بمقر الشركة بعد تعذر الوصول إلى حلول مرضية مع إدارة المجموعة قد توصل موقع أخبارنا بنص البلاغ الذي أصدره المتضررون,34,166,166,0.33,0.51,0.0,0.54,0.2,2.51,0.18,0.35,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
أورو دولار أمريكي دولار كندي جنيه إسترليني فرنك سويسري كرونة دنماركية كرونة سويدية كرونة نرويجية ريال سعودي دينار كويتي درهم الإمارات العربية المتحدة ين ياباني دينار جزائري دينار تونسي دينار ليبي أوقية موريتانية,33,179,179,0.41,0.69,0.0,0.6,0.12,2.91,0.03,0.27,Arts & Humanities,Advanced,High BAREC / Low DLI,12,5,2.3
من المنتظر أن يحل والي بنك المغرب عبد اللطيف الجواهري الأربعاء المقبل ضيفا على مجلس النواب لمناقشة موضوع السياسية النقدية والمالية لبنك المغرب وسيقدم والي بنك المغرب تقريرا تفصيليا أمام لجنة المالية والتنمية الاقتصادية بمجلس النواب حول وضعية الاقتصاد المغربي خلال هذه السنة والسياسية النقدية لبنك المغرب,47,257,257,0.38,0.57,0.0,0.47,0.16,2.52,0.15,0.68,Arts & Humanities,Advanced,High BAREC / High DLI,14,8,3.6
أعلن بنك المغرب اليوم الثلاثاء أنه من المرتقب أن تصل نسبة التضخم الى في المائة سنة في المائة سنة مشيرا إلى أن هذه التوقعات تأخذ بعين الاعتبار التطورات المتوقعة في أسعار المواد النفطية في السوق الدولية ونفقات المقاصة المبرمجة في مشروع قانون المالية لسنة,44,209,209,0.39,0.62,0.0,0.46,0.14,2.03,0.14,0.5,Arts & Humanities,Advanced,High BAREC / High DLI,15,6,2.7
أبانت دراسة أنجزتها المندوبية السامية للتخطيط حول الموضوع أن النفقات الغذائية ترتفع بنسبة في المئة خلال رمضان مقارنة بباقي شهور السنة وترتفع قيمة النفقات الغذائية من درهم في الشهور العادية إلى درهما في رمضان أضافت الدراسة أن زيادة الاستهلاك في رمضان تساهم في رفع كلفة المعيشة,46,230,230,0.42,0.65,0.0,0.51,0.15,1.99,0.13,0.43,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
متابعة قررت وزارة الصحة سحب دواء معروف مخصص لعلاج داء البواسير من جميع الصيدليات المغربية يحمل اسم استنادا لصحيفة ليكونومسيت قررت الوزارة الامتناع عن الترخيص مجددا لتسويق الدواء المذكور بعد الاطلاع على تقرير لمؤسسة الفرنسية المختصة في مراقبة جودة الأدوية يؤكد احتواء الدواء إلى مواد مخدرة,46,243,243,0.3,0.49,0.0,0.5,0.18,2.15,0.13,0.41,Arts & Humanities,Advanced,High BAREC / Low DLI,14,5,2.3
أعلن بنك المغرب في بلاغ له اليوم الأربعاء أنه ضخ مبلغ مليار درهم في السوق النقدية برسم تسبيقات لمدة سبعة أيام وأضاف البنك المركزي أنه تم خلال عملية طلب عروض جرت اليوم الأربعاء ضخ مبلغ مليار درهم لمبلغ مطلوب قيمته مليار درهم بنسبة فائدة حددت في بالمائة,47,205,205,0.36,0.51,0.0,0.5,0.23,2.12,0.06,0.43,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
أعلن بنك المغرب أن صافي الاحتياطات الدولية بلغ ما قيمته مليار درهم الى غاية أبريل مسجلا ارتفاعا بنسبة بالمائة على أساس سنوي وأوضح البنك المركزي الذي نشر مؤشراته الأسبوعية مؤخرا أنه من أسبوع لآخر عرفت هذه الاحتياطات ارتفاعا بنسبة في المائة,41,198,198,0.35,0.52,0.0,0.49,0.19,2.32,0.15,0.41,Arts & Humanities,Advanced,High BAREC / High DLI,15,7,3.2
أعلن بنك المغرب أن صافي الاحتياطات الدولية بلغ مليار درهم إلى غاية يناير مسجلا ارتفاعا بنسبة في المائة على أساس سنوي وأوضح البنك المركزي الذي نشر مؤشراته الأسبوعية أن هذه الاحتياطات سجلت ارتفاعا من أسبوع إلى آخر بنسبة في المائة,40,188,188,0.36,0.53,0.0,0.49,0.16,2.23,0.2,0.33,Arts & Humanities,Advanced,High BAREC / High DLI,15,6,2.7
المندوبية السامية للتخطيط أكدت في مذكرتها الإخبارية أن القطاع يعتبر الأكثر تضررا بالظرفية,13,77,77,0.4,0.65,0.0,0.55,0.14,2.92,0.08,0.77,Arts & Humanities,Advanced,High BAREC / High DLI,12,7,3.2
يقوم كاتب الدولة الإسباني للأمن فرانسيسكو مارتينيز اليوم الاثنين بزيارة للمغرب وفق ما أفاد به بلاغ لرئاسة الحكومة الإسبانية وأضاف المصدر ذاته أن المسؤول الإسباني سيجتمع خلال هذه الزيارة بالوزير المنتدب لدى وزير الداخلية السيد الشرقي الضريس وتندرج هذه الزيارة في إطار الاتصالات الدائمة بين مسؤولي البلدين,47,257,257,0.36,0.54,0.0,0.48,0.12,2.22,0.09,0.66,Arts & Humanities,Advanced,High BAREC / Low DLI,14,5,2.3
أعلن بنك المغرب اليوم الأربعاء أنه ضخ مبلغ مليار درهم في السوق النقدية برسم تسبيقات لمدة سبعة أيام وأوضح البنك المركزي في بلاغ له أنه ضخ هذا المبلغ خلال طلب عروض يوم فبراير الجاري لمبلغ مطلوب قدره مليار درهم بنسبة في المائة,42,182,182,0.36,0.49,0.0,0.5,0.22,2.2,0.05,0.45,Arts & Humanities,Advanced,High BAREC / Low DLI,14,5,2.3
عين الملك محمد السادس اليوم السبت بمدينة العيون ناصر بوريطة وزيرا منتدبا لدى وزير الشؤون الخارجية والتعاون يذكر أن بوريطة الذي أدى القسم أمام الملك وذلك بحضور رئيس الحكومة عبد الإله بنكيران كان يشغل منصب الكاتب العام لوزارة الشؤون الخارجية والتعاون,41,208,208,0.32,0.49,0.0,0.47,0.17,2.06,0.12,0.56,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
أكدت مصادر من سيدي معروف بالدار البيضاء أن رجال الأمن عثروا على مختل عقليا مشنوقا فوق قنطرة وأضافت المصادر ذاتها أن الأمن فتح تحقيقا لمعرفة أسباب انتحار المعني بالأمر وإليكم اولى صور الحادث من تصوير عبد الحق خليفة,38,176,176,0.33,0.52,0.0,0.53,0.18,2.07,0.21,0.45,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
أعلن بنك المغرب اليوم الخميس أنه ضخ مبلغ مليار درهم في السوق النقدية برسم تسبيقات لمدة سبعة أيام وأوضح البنك المركزي في بلاغ له أن ضخ هذا المبلغ تم خلال طلب عروض أمس الأربعاء لمبلغ مطلوب قدره مليار درهم بنسبة في المائة,42,177,177,0.36,0.49,0.0,0.49,0.23,2.15,0.1,0.43,Arts & Humanities,Advanced,High BAREC / Low DLI,12,5,2.3
متابعة حسب صحيفة أخبار اليوم لعدد الغد فقد أفادت الشركة التي تبحث في عدة مناطق بالمغرب بأن الآبار يمكن أن تحتوي على مليار مليون برلميل من خام النفط ويمكن أن يستخرج منها ألف برميل يوميا أي ما يمثل في المائة من الاستهلاك المحلي في إسبانيا,45,192,192,0.39,0.6,0.0,0.52,0.21,2.14,0.24,0.33,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
استهدفت عملية أمنية لمصالح المنطقة الأمنية الأولى بولاية أمن طنجة مقهى يشتبه في تقديمه الشيشة على مستوى شارع أبي العلاء المعري وأسفرت العملية عن حجز نرجيلة وكيلوغرامين ونصف من مادة المعس المهربة كما تم إيقاف مسير المقهى وتم وضع الموقوف تحت تدابير الحراسة النظرية بتعليمات من النيابة العامة المختصة,49,249,249,0.38,0.63,0.0,0.47,0.22,2.57,0.18,0.49,Arts & Humanities,Advanced,High BAREC / High DLI,12,8,3.6
أعلن بنك المغرب اليوم الأربعاء أنه ضخ مبلغ مليار درهم في السوق النقدية برسم تسبيقات لمدة سبعة أيام وأوضح البنك المركزي في بلاغ له أنه ضخ هذا المبلغ خلال طلب عروض اليوم لمبلغ مطلوب قدره مليار درهم بنسبة بالمائة,39,171,171,0.35,0.47,0.0,0.48,0.23,2.19,0.05,0.51,Arts & Humanities,Advanced,High BAREC / Low DLI,15,5,2.3
متوسط إنفاق المغربي على الدواء لا يتعدى دراهم فيما يستهلك علب سنويا,12,56,56,0.29,0.45,0.0,0.5,0.2,2.25,0.08,0.25,Arts & Humanities,Advanced,Low BAREC / Low DLI,10,3,1.4
وصل جثمان الفقيدة ليلى العلوي إلى منزل عائلتها بمراكش النخيل حيث من المقرر تشييع جنازتها اليوم الأربعاء بعد صلاة الظهر وكان جثمان الراحلة التي توفيت متأثرة بالجروح التي أصيبت بها خلال الهجوم الإرهابي بواغادوغو قد شرع في نقله مساء يوم أمس من العاصمة البوركينابية,44,218,218,0.36,0.59,0.0,0.47,0.2,2.17,0.18,0.43,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
أعلن بنك المغرب اليوم الخميس أنه ضخ مبلغ مليار درهم في السوق النقدية برسم تسبيقات لمدة سبعة أيام وأوضح البنك المركزي في بلاغ له أن هذه العملية تمت عبر طلب عروض اليوم لمبلغ مطلوب قيمته مليار درهم بنسبة فائدة تبلغ في المائة,42,180,180,0.38,0.56,0.0,0.5,0.23,2.05,0.1,0.43,Arts & Humanities,Advanced,High BAREC / High DLI,15,6,2.7
رشح الذراع النقابي لحزب العدالة والتنمية قياديا في حزب الأصالة والمعاصرة على رأس لائحته في انتخاب اللجان متساوية الأعضاء بالوزارة المكلفة بالعلاقات مع البرلمان طرحت هذه الخطوة التي قامت بها نقابة يتيم علامة استفهام كبيرة حول خلفياتها ما إذا كان الأمر توطئة لتحالف قادم على مستوى أوسع,47,237,237,0.33,0.53,0.0,0.45,0.19,2.53,0.17,0.49,Arts & Humanities,Advanced,High BAREC / High DLI,16,8,3.6
تمكنت عناصر من الشرطة السياحية التابعة لأمن فاس من إلقاء القبض على البالغ سنة وهو في حالة تلبس بنشل هاتف نقال يعود لسائحة أجنبية وحسب مصادر أمنية فقد تم وضع الوقوف تحت تدابير الملاحظة بأمر النيابة العامة المختصة من أجل البحث في المنسوب إليه قبل إحالته على العدالة المختصة,49,223,223,0.38,0.6,0.0,0.49,0.18,2.39,0.24,0.49,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
أفاد بنك المغرب بأن صافي الاحتياطيات الدولية بلغ مليار درهم إلى حدود ماي المنصرم مسجلا انخفاضا بنسبة في المائة بالمقارنة مع الفترة نفسها من السنة الماضية وأوضح بنك المغرب الذي نشر مؤخرا مؤشراته الأسبوعية من إلى ماي أن هذه الاحتياطات سجلت من أسبوع إلى آخر انخفاضا بنسبة في المائة,49,230,230,0.37,0.52,0.0,0.48,0.18,2.22,0.18,0.41,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
استقبل صاحب الجلالة الملك محمد السادس نصره الله اليوم الجمعة بإقامة جلالته بمدينة الداخلة وزير الدولة وزير الداخلية والأمن بجمهورية الكوت ديفوار السيد حامد باكايوكو قد حضر هذا الاستقبال وزير الداخلية السيد محمد حصاد,34,182,182,0.29,0.45,0.0,0.44,0.19,2.12,0.12,0.59,Arts & Humanities,Advanced,High BAREC / Low DLI,14,5,2.3
يعقد مجلس النواب الاثنين المقبل جلسة عمومية تخصص للأسئلة الشفهية الشهرية الموجهة إلى رئيس الحكومة حول السياسة العامة وأفاد بلاغ للمجلس بأن الجلسة التي ستنطلق ابتداء من الساعة الثالثة والنصف بعد الزوال تنعقد طبقا لأحكام الفقرة الثالثة من الفصل من الدستور ومقتضيات المادتين من النظام الداخلي,46,244,244,0.34,0.57,0.0,0.44,0.16,2.24,0.15,0.67,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
صدر اليوم الخميس حكم من المحكمة الابتدائية بعين السبع بالدار البيضاء يقضي بحبس مدير جريدة المساء رشيد نيني بتنة واحدة حبسا نافذا بتهمة تحقير مقرر قضائي ومحاولة التأثير على القضاء والتبليغ بوقائع إجرامية غير صحيحة مع تغريمه مبلغ ألف درهم سنعود إلى تفاصيل المحاكمة في وقت لاحق,47,228,228,0.38,0.61,0.0,0.55,0.21,2.23,0.21,0.47,Arts & Humanities,Advanced,High BAREC / High DLI,16,7,3.2
تابعت يومية المساء في عددها الصادر غدا أن قرار إعفاء العكاري جاء في سياق ترتيب المسؤوليات الإدارية بعد ترتب المسؤولية الوزارية على الوزير المقال محمد أوزين,26,130,130,0.32,0.52,0.0,0.5,0.14,2.08,0.12,0.35,Arts & Humanities,Advanced,High BAREC / Low DLI,14,5,2.3
عقد مجلس النواب اليوم الجمعة جلسة عمومية خصصت للإعلان عن تشكيل الفرق والمجموعات النيابية وانتخاب مكتب مجلس النواب ورؤساء اللجان الدائمة وذلك طبقا لمقتضيات الفصل من الدستور والمواد من النظام الداخلي للمجلس,32,173,173,0.32,0.47,0.0,0.43,0.2,2.22,0.12,0.75,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
يعقد البرلمان بمجلسيه الثلاثاء المقبل جلسة عمومية مشتركة بمقر مجلس النواب تخصص لتقديم مشروع قانون المالية للسنة المالية من طرف وزير الاقتصاد والمالية وذكر بلاغ لمجلسي البرلمان أن هذه الجلسة التي تعقد طبقا لأحكام الفصل من الدستور ستنطلق على الساعة الخامسة بعد الزوال,43,223,223,0.33,0.53,0.0,0.47,0.18,2.63,0.19,0.63,Arts & Humanities,Advanced,High BAREC / High DLI,14,8,3.6
متابعة علم موقع أخبارنا أن جميع أعضاء اللجنة التنفيذية في حزب الاستقلال الذين ترشحوا للانتخابات التشريعية قد فازوا بمقعد في البرلمان ضمنهم وزيرة الصحة ياسمينة بادو في دائرة آنفا في الدار البيضاء وزير النقل والتجهيز كريم غلاب في دائرة بن أمسيك في الدار البيضاء,44,216,216,0.44,0.65,0.0,0.54,0.14,2.02,0.18,0.45,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
استدعت الجامعة الغابونية لكرة القدم لاعب الرجاء سامسونغ مبينغي لتعزيز صفوف منتخبها الوطني خلال الفترة الممتدة ما بين يناير فبراير وضعت الجامعة الغابونية اللاعب لونغوالاما بوكامبا ضمن لائحة الانتظار تحسبا لإشراكه ضمن منتخبه الوطني خلال نفس التظاهرة المزيد من الأخبار الرياضية زوروا صفحة أخبارنا الرياضية,45,258,258,0.4,0.56,0.0,0.5,0.18,2.2,0.13,0.53,Arts & Humanities,Advanced,High BAREC / High DLI,14,7,3.2
الدوري الإسباني خيتافي ملقا الدوري الألماني ماينز هوفنهايم الدوري الفرنسي رين ليل,12,70,70,0.37,0.57,0.0,0.51,0.1,2.92,0.0,0.5,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
قائمة هدافي كأس إفريقيا بعد دور الربع أهداف أحمد العكايشي تونس خافيير بالبوا غينيا الاستوائية ماكس غرادل الكوت ديفوار هدفان تييفي بيفوما الكونغو أندري آييو وكريستيان أتسو غانا ديوميرسي مبوكاني وجيريمي بوكيلا الكونغو الديموقراطية العربي هلال سوداني الجزائر ويلفريد بوني الكوت ديفوار,42,240,240,0.37,0.58,0.0,0.54,0.15,3.12,0.1,0.26,Arts & Humanities,Advanced,High BAREC / Low DLI,12,5,2.3
يستضيف ملعب كامب نو اليوم السبت انطلاقا من الساعة مساء نهائي كأس الملك بين برشلونة وأتلتيك بلباو فيما يلي التشكيلة المتوقعة بحسب صحيفة موندو ديبرتيفو,25,125,125,0.41,0.66,0.0,0.5,0.16,2.42,0.08,0.28,Arts & Humanities,Advanced,High BAREC / Low DLI,14,5,2.3
الدوري الإنجليزي الممتاز ليستر سيتي مانشستر يونايتد مانشستر سيتي تشيلسي الدوري الأسباني ليفانتي برشلونة الدوري الإيطالي روما كالياري أودينيزي نابولي باليرمو إنتر ميلان الدوري الألماني فولفسبورج باير ليفركوزن الدوري الفرنسي باريس سان جيرمان ليون الدوري الهولندي الممتاز فينورد روتردام أياكس أمستردام,41,258,258,0.38,0.62,0.0,0.57,0.08,3.33,0.0,0.37,Arts & Humanities,Advanced,High BAREC / Low DLI,12,5,2.3
في ما يأتي برنامج ربع نهائي كأس العالم للشباب أقل من عاما لكرة القدم والمقامة في كوريا الجنوبية إلى غاية يونيو الأحد الولايات المتحدة فنزويلا البرتغال الأوروغواي الاثنين ايطاليا زامبيا المكسيك انكلترا نصف النهائي الخميس يونيو النهائي الأحد يونيو,39,207,207,0.35,0.56,0.0,0.43,0.16,2.29,0.08,0.49,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
ترتيب فرق البطولة ترتيب فرق البطولة,6,30,30,0.53,0.87,0.0,0.67,0.0,1.33,0.33,0.33,Arts & Humanities,Advanced,Low BAREC / High DLI,7,8,3.6
دوري أبطال أوروبا الجولة مباريات الثلاثاء سسكا موسكو بايرن ميونيخ شالكه ماريبور باتي بوريسوف أتلتيك بيلباو أبويل نيقوسيا أياكس أمستردام سبورتينج لشبونة تشيلسي باريس سان جيرمان برشلونة شاختار دونيتسك بورتو مانشستر سيتي روما,33,190,190,0.41,0.69,0.0,0.57,0.11,3.0,0.03,0.09,Arts & Humanities,Advanced,High BAREC / Low DLI,12,5,2.3
حصد العداء البريطاني محمد فرح الميدالية الذهبية الثانية له في أوليمبياد ريو دي جانيرو ريو بالبرازيل بعدما فاز بنهائي سباق رجال مساء السبت وقطع فرح الذي فاز بسباق المضمار في زمن قدره دقيقة متفوقا على الإثيوبي هاجوس جيبرهويت الثاني دقيقة والأمريكي برنارد لاجات الثالث بزمن دقيقة,46,231,231,0.42,0.67,0.0,0.57,0.14,2.05,0.13,0.46,Arts & Humanities,Advanced,High BAREC / High DLI,14,6,2.7
الدوري الإنجليزي كريستال بالاس تشيلسي إيفرتون توتنهام الدوري الإسباني رايو فايكانو ريال سوسييداد غرناطة إشبيليه ريال بيتيس إيبار أتلتيك بيلباو لاس بالماس ديبورتيفو لاكورونيا فياريال فالنسيا ريال مدريد,28,173,173,0.39,0.64,0.0,0.57,0.06,3.23,0.0,0.32,Arts & Humanities,Advanced,High BAREC / Low DLI,12,5,2.3
